"tag","area","yr","season","tfill","sex","age","Nrel"
1,1,241,1,999,0,4,5.8
2,1,241,1,999,0,5,183.4
3,1,241,1,999,0,6,363.2
4,1,241,1,999,0,7,79.8
5,1,241,1,999,0,8,26.1
6,1,241,1,999,0,9,121.1
7,1,241,1,999,0,10,337.8
8,1,241,1,999,0,11,207.3
9,1,241,1,999,0,12,52.9
10,1,241,1,999,0,13,20.3
11,1,241,1,999,0,14,24.6
12,1,241,1,999,0,15,44.9
13,1,242,1,999,0,3,0.7
14,1,242,1,999,0,4,8
15,1,242,1,999,0,5,26.1
16,1,242,1,999,0,6,195.8
17,1,242,1,999,0,7,182.7
18,1,242,1,999,0,8,33.4
19,1,242,1,999,0,9,31.2
20,1,242,1,999,0,10,101.5
21,1,242,1,999,0,11,108.8
22,1,242,1,999,0,12,43.5
23,1,242,1,999,0,13,10.2
24,1,242,1,999,0,14,10.2
25,1,242,1,999,0,15,20.3
26,1,234,1,999,0,2,8.7
27,1,234,1,999,0,3,7.2
28,1,234,1,999,0,4,213.9
29,1,234,1,999,0,5,155.2
30,1,234,1,999,0,6,10.2
31,1,234,1,999,0,7,0.7
32,1,234,1,999,0,10,8.7
33,1,234,1,999,0,11,5.1
34,1,234,1,999,0,12,2.2
35,1,234,1,999,0,13,2.2
36,1,234,1,999,0,14,0.7
37,1,235,1,999,0,2,73.2
38,1,235,1,999,0,3,96.4
39,1,235,1,999,0,4,493
40,1,235,1,999,0,5,328.4
41,1,235,1,999,0,6,4.3
42,1,235,1,999,0,7,0.7
43,1,235,1,999,0,9,1.4
44,1,236,1,999,0,2,35.5
45,1,236,1,999,0,3,669.9
46,1,236,1,999,0,4,1281.1
47,1,236,1,999,0,5,279.1
48,1,236,1,999,0,6,42.8
49,1,236,1,999,0,7,151.5
50,1,236,1,999,0,8,46.4
51,1,236,1,999,0,9,3.6
52,1,236,1,999,0,10,1.4
53,1,236,1,999,0,11,1.4
54,1,236,1,999,0,12,0.7
55,1,237,1,999,0,3,144.3
56,1,237,1,999,0,4,566.9
57,1,237,1,999,0,5,176.2
58,1,237,1,999,0,6,224
59,1,237,1,999,0,7,492.3
60,1,237,1,999,0,8,834.5
61,1,237,1,999,0,9,76.1
62,1,237,1,999,0,10,26.1
63,1,237,1,999,0,11,2.2
64,1,237,1,999,0,12,2.2
65,1,238,1,999,0,1,95.7
66,1,238,1,999,0,2,796.8
67,1,238,1,999,0,3,1359.4
68,1,238,1,999,0,4,6986.1
69,1,238,1,999,0,5,309.6
70,1,238,1,999,0,6,20.3
71,1,238,1,999,0,7,21
72,1,238,1,999,0,8,34.1
73,1,238,1,999,0,9,32.6
74,1,238,1,999,0,10,6.5
75,1,239,1,999,0,2,791.7
76,1,239,1,999,0,3,2395.4
77,1,239,1,999,0,4,3339.3
78,1,239,1,999,0,5,2235.9
79,1,239,1,999,0,6,14.5
80,1,239,1,999,0,7,1.4
81,1,239,1,999,0,8,0.7
82,1,240,1,999,0,2,301.6
83,1,240,1,999,0,3,3668.5
84,1,240,1,999,0,4,656.1
85,1,240,1,999,0,5,631.5
86,1,240,1,999,0,6,61.6
87,1,240,1,999,0,7,2.9
88,1,241,1,999,0,3,23.2
89,1,241,1,999,0,4,1.4
90,1,241,1,999,0,5,0.7
91,1,241,1,999,0,7,13.8
92,1,241,1,999,0,8,27.6
93,1,242,1,999,0,1,13.8
94,1,242,1,999,0,2,294.3
95,1,242,1,999,0,3,73.2
96,1,242,1,999,0,4,807.6
97,1,242,1,999,0,5,6.5
98,1,242,1,999,0,6,9.4
99,1,242,1,999,0,7,14.5
100,1,242,1,999,0,8,5.1
101,1,242,1,999,0,9,9.4
102,1,242,1,999,0,10,10.2
103,1,242,1,999,0,11,4.3
104,1,242,1,999,0,12,0.7
105,1,243,1,999,0,1,5.1
106,1,243,1,999,0,2,1333.3
107,1,243,1,999,0,3,373.4
108,1,243,1,999,0,4,3039.2
109,1,243,1,999,0,5,884.5
110,1,243,1,999,0,6,1.4
111,1,243,1,999,0,7,0.7
112,1,243,1,999,0,10,2.2
113,1,243,1,999,0,11,2.9
114,1,243,1,999,0,12,0.7
115,1,243,1,999,0,14,1.4
